dataset	analysis_subset	endpoint	n_total	n_event_or_pCR	model_name	variable	effect_type	estimate	conf_low	conf_high	p_value	covariates	notes	source_file	signature	n_signature_genes	n_genes_found	coverage	missing_genes	n_non_event_or_RD	log_effect	se_log_effect	source_context	meta_set	include_GSE194040	include_GSE25066	k	fixed_estimate	fixed_conf_low	fixed_conf_high	fixed_p_value	random_estimate	random_conf_low	random_conf_high	random_p_value	I2	Q_p_value	included_datasets	analysis_level	source_celltype	module	n_pairs	mean_delta	median_delta	sd_delta	min_delta	max_delta	test	statistic	p_adj_BH_within_module	MajorCluster	SubCluster	Subset	comparison	value	p_adj_BH	n_samples	n_patients	n_R	n_NR	effect_R_minus_NR	score_or_axis
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_BIR	cohortGSE25065	OR	1.10807764168073	0.563097219985284	2.18050456726604	0.766353561250778	pCR_binary ~ cohort + scale(TNBC_BIR_favorable_score)		results/GSE25066_RMA_pCR_DRFS_models.tsv																																																
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_BIR	scale(TNBC_BIR_favorable_score)	OR	0.86905043490816	0.624917176258708	1.20855800913592	0.404185557215203	pCR_binary ~ cohort + scale(TNBC_BIR_favorable_score)		results/GSE25066_RMA_pCR_DRFS_models.tsv																																																
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_Immune	(Intercept)	OR	0.490437458944813	0.330415576391989	0.727958723262166	0.000406680294520089	pCR_binary ~ cohort + scale(Immune_remodeling_score)		results/GSE25066_RMA_pCR_DRFS_models.tsv																																																
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_Immune	cohortGSE25065	OR	1.08016665731689	0.551928263945013	2.11397039035381	0.821899044676304	pCR_binary ~ cohort + scale(Immune_remodeling_score)		results/GSE25066_RMA_pCR_DRFS_models.tsv																																																
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_Immune	scale(Immune_remodeling_score)	OR	0.90469055165112	0.654700403971535	1.25013668737921	0.543840407787347	pCR_binary ~ cohort + scale(Immune_remodeling_score)		results/GSE25066_RMA_pCR_DRFS_models.tsv																																																
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_APC_CXCL9_axis	(Intercept)	OR	0.493209698189682	0.3326309366816	0.731308424932243	0.00043637223115045	pCR_binary ~ cohort + scale(APC_CXCL9_axis)		results/GSE25066_RMA_pCR_DRFS_models.tsv																																																
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_APC_CXCL9_axis	cohortGSE25065	OR	1.06760760296655	0.546258485605769	2.08653233578245	0.84824755773215	pCR_binary ~ cohort + scale(APC_CXCL9_axis)		results/GSE25066_RMA_pCR_DRFS_models.tsv																																																
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_APC_CXCL9_axis	scale(APC_CXCL9_axis)	OR	0.992007305046916	0.720691329089034	1.3654645942672	0.960739305317605	pCR_binary ~ cohort + scale(APC_CXCL9_axis)		results/GSE25066_RMA_pCR_DRFS_models.tsv																																																
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_APC_CXCL9_plus_proliferation	(Intercept)	OR	0.459815821749604	0.304996863037098	0.693222178831216	0.000207787666222339	pCR_binary ~ cohort + scale(APC_CXCL9_axis) + scale(Proliferation)		results/GSE25066_RMA_pCR_DRFS_models.tsv																																																
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_APC_CXCL9_plus_proliferation	cohortGSE25065	OR	1.19061582470063	0.597956477564843	2.370684314351	0.619522221248577	pCR_binary ~ cohort + scale(APC_CXCL9_axis) + scale(Proliferation)		results/GSE25066_RMA_pCR_DRFS_models.tsv																																																
