dataset	analysis_subset	endpoint	n_total	n_event_or_pCR	model_name	variable	effect_type	estimate	conf_low	conf_high	p_value	covariates	notes
GSE163882	primary_TNBC	pCR	88	36	stage_adjusted_axis_plus_proliferation	scale(Proliferation)	OR	1.370279169819127	0.7659538274461825	2.451407560036149	0.288455564412715	pCR_binary ~ scale(APC_CXCL9_axis) + scale(Proliferation) + stage_group	Exploratory complete-case stage-adjusted model; interpret as sensitivity only.
GSE41998	primary_TNBC	pCR	125	51	axis_only	APC_CXCL9_axis	OR_per_1SD	1.2925542603759106	0.8947833054467499	1.8671520868192408	0.17145374414981804	pCR_binary ~ z_APC_CXCL9_axis	
GSE41998	primary_TNBC	pCR	125	51	axis_plus_proliferation	APC_CXCL9_axis	OR_per_1SD	1.292271335479755	0.8942964603242228	1.86735079315554	0.17219855689501118	pCR_binary ~ z_APC_CXCL9_axis + z_Proliferation	
GSE41998	primary_TNBC	pCR	125	51	axis_plus_proliferation	Proliferation	OR_per_1SD	0.9949736599654376	0.6940598462157582	1.4263504644774845	0.9781226777896144	pCR_binary ~ z_APC_CXCL9_axis + z_Proliferation	
GSE41998	primary_TNBC	pCR	125	51	immune_only	Immune_remodeling_score	OR_per_1SD	1.2816124927125774	0.8912486025364094	1.8429544537881568	0.18064206937144148	pCR_binary ~ z_Immune_remodeling_score	
GSE41998	primary_TNBC	pCR	125	51	proliferation_only	Proliferation	OR_per_1SD	0.9842805863188426	0.6883474319798529	1.4074408178114923	0.9308002705969892	pCR_binary ~ z_Proliferation	
GSE41998	primary_TNBC	pCR	125	51	aggregate_BIR_descriptive	TNBC_BIR_favorable_score	OR_per_1SD	1.0722133336370894	0.7501208805037789	1.5326082271660868	0.7020603981830493	pCR_binary ~ z_TNBC_BIR_favorable_score	
GSE41998	ER_HER2_negative_sensitivity	pCR	136	53	axis_only	APC_CXCL9_axis	OR_per_1SD	1.282103174715676	0.8970812638419564	1.8323741860086495	0.17259871816752873	pCR_binary ~ z_APC_CXCL9_axis	
GSE41998	ER_HER2_negative_sensitivity	pCR	136	53	axis_plus_proliferation	APC_CXCL9_axis	OR_per_1SD	1.2820583404361916	0.8969800474265219	1.8324527875483727	0.17275276045135168	pCR_binary ~ z_APC_CXCL9_axis + z_Proliferation	
GSE41998	ER_HER2_negative_sensitivity	pCR	136	53	axis_plus_proliferation	Proliferation	OR_per_1SD	1.0934346794942056	0.7685464776921448	1.5556631030446475	0.6195023031289251	pCR_binary ~ z_APC_CXCL9_axis + z_Proliferation	
GSE41998	ER_HER2_negative_sensitivity	pCR	136	53	immune_only	Immune_remodeling_score	OR_per_1SD	1.265040838791888	0.891182740311765	1.7957353205151123	0.1883691570331329	pCR_binary ~ z_Immune_remodeling_score	
GSE41998	ER_HER2_negative_sensitivity	pCR	136	53	proliferation_only	Proliferation	OR_per_1SD	1.0931657754638755	0.7698554845772096	1.5522542043092868	0.6185268284395292	pCR_binary ~ z_Proliferation	
GSE41998	ER_HER2_negative_sensitivity	pCR	136	53	aggregate_BIR_descriptive	TNBC_BIR_favorable_score	OR_per_1SD	0.9820313480827524	0.6945457216776479	1.3885127192026931	0.91827645177458606	pCR_binary ~ z_TNBC_BIR_favorable_score	
GSE20194	primary_TNBC	pCR	65	23	axis_only	APC_CXCL9_axis	OR_per_1SD	0.930123396063414	0.5574949672237679	1.551815859814376	0.7814917301018786	pCR_binary ~ z_APC_CXCL9_axis	
GSE20194	primary_TNBC	pCR	65	23	axis_plus_proliferation	APC_CXCL9_axis	OR_per_1SD	1.000474785608053	0.5785444440660216	1.7301173780233456	0.9986446979707324	pCR_binary ~ z_APC_CXCL9_axis + z_Proliferation	
GSE20194	primary_TNBC	pCR	65	23	axis_plus_proliferation	Proliferation	OR_per_1SD	2.061110977303396	1.1277437424618169	3.766971432257265	0.01873589656514865	pCR_binary ~ z_APC_CXCL9_axis + z_Proliferation	
GSE20194	primary_TNBC	pCR	65	23	immune_only	Immune_remodeling_score	OR_per_1SD	0.7002902680712664	0.4093244171650026	1.19808748022388	0.19348140948700235	pCR_binary ~ z_Immune_remodeling_score	
GSE20194	primary_TNBC	pCR	65	23	proliferation_only	Proliferation	OR_per_1SD	2.0609751656424993	1.13318238262072	3.7483980500752465	0.01780277208420579	pCR_binary ~ z_Proliferation	
GSE20194	primary_TNBC	pCR	65	23	aggregate_BIR_descriptive	TNBC_BIR_favorable_score	OR_per_1SD	0.971567377798272	0.5808056519497923	1.625230688497862	0.9125001008894218	pCR_binary ~ z_TNBC_BIR_favorable_score	
GSE20194	ER_HER2_negative_sensitivity	pCR	73	25	axis_only	APC_CXCL9_axis	OR_per_1SD	0.9389029624143262	0.577193320168577	1.527285126191226	0.7995198398929791	pCR_binary ~ z_APC_CXCL9_axis	
GSE20194	ER_HER2_negative_sensitivity	pCR	73	25	axis_plus_proliferation	APC_CXCL9_axis	OR_per_1SD	1.011098836933158	0.5994000493652134	1.705573529949255	0.9669963351327436	pCR_binary ~ z_APC_CXCL9_axis + z_Proliferation	
GSE20194	ER_HER2_negative_sensitivity	pCR	73	25	axis_plus_proliferation	Proliferation	OR_per_1SD	2.317158737879954	1.2733475931915252	4.216621325741833	0.00593933528090866	pCR_binary ~ z_APC_CXCL9_axis + z_Proliferation	
GSE20194	ER_HER2_negative_sensitivity	pCR	73	25	immune_only	Immune_remodeling_score	OR_per_1SD	0.6941537997851629	0.4169611505383479	1.1556220456847195	0.16037640762676147	pCR_binary ~ z_Immune_remodeling_score	
GSE20194	ER_HER2_negative_sensitivity	pCR	73	25	proliferation_only	Proliferation	OR_per_1SD	2.3137791559173504	1.2770217677419942	4.19223392865393	0.00566804508645118	pCR_binary ~ z_Proliferation	
GSE20194	ER_HER2_negative_sensitivity	pCR	73	25	aggregate_BIR_descriptive	TNBC_BIR_favorable_score	OR_per_1SD	0.9865093695146798	0.6057848002943413	1.606512305471164	0.9564636218196444	pCR_binary ~ z_TNBC_BIR_favorable_score	
GSE22226	primary_TNBC	pCR	29	8	axis_only	APC_CXCL9_axis	OR_per_1SD	0.8707762097526659	0.3702162908821743	2.048130312322051	0.75117583427721	pCR_binary ~ z_APC_CXCL9_axis + platform	underpowered: pCR events <15; platform fixed effect included
GSE22226	primary_TNBC	pCR	29	8	axis_plus_proliferation	APC_CXCL9_axis	OR_per_1SD	0.8909865751293533	0.37228387266946233	2.132397171460533	0.795447302487072	pCR_binary ~ z_APC_CXCL9_axis + z_Proliferation + platform	underpowered: pCR events <15; platform fixed effect included
GSE22226	primary_TNBC	pCR	29	8	axis_plus_proliferation	Proliferation	OR_per_1SD	0.7212832163629985	0.31338644953070227	1.6600892571648462	0.4423609829976418	pCR_binary ~ z_APC_CXCL9_axis + z_Proliferation + platform	underpowered: pCR events <15; platform fixed effect included
GSE22226	primary_TNBC	pCR	29	8	immune_only	Immune_remodeling_score	OR_per_1SD	1.0785986309012556	0.46354021871864	2.5097606628351903	0.8606080015479685	pCR_binary ~ z_Immune_remodeling_score + platform	underpowered: pCR events <15; platform fixed effect included
GSE22226	primary_TNBC	pCR	29	8	proliferation_only	Proliferation	OR_per_1SD	0.7156449476046984	0.31177762397373593	1.6426698122353856	0.42998255389088774	pCR_binary ~ z_Proliferation + platform	underpowered: pCR events <15; platform fixed effect included
